Word,Definition,Context
petard,,"In the purest of poetic justice, Procrustes was hoisted by his own petard. "
Chartres,,He admires the kings and queens carved at Chartres for their ‘aristocratic’ faces. 
rapacious,,"He scoffs at the ‘rapacious parvenus’ of the papal families of the sixteenth century, whom he scornfully compares to ‘modern millionaires’. "
edifying,,"Writers and politicians may come out with all sorts of edifying sentiments, but they are what is known as declarations of intent. "
pneumatic,,"We might remember, however, that the pneumatic tyre, for instance, has changed the face of land transport and is probably a more important invention than the internal combustion engine. "
promontory,,"ATHENS 479 BC: THE HELLESPONT At one of the narrowest points on the Hellespont, the thin channel of water that snakes from the Aegean up towards the Black Sea, and separates Europe from Asia, a promontory known as the Dog’s Tail extended from the European shore. "
beset,,"However, anthropomorphism is not the main type of overconfidence that has beset the field of AI. "
trough,,"The Greeks reported in hushed tones of disgust one particularly revolting torture: the scaphe, or ‘trough’. "
wantonly,,"Yet cruel though such a torture might be, it was not wantonly so. "
punitive,,"Even in Assyria, a land to the north of Babylon, and which, until the collapse of its ferociously militarist regime in 612 BC, had repeatedly launched punitive expeditions against the great city, its kings echoed the pretensions of Hammurabi. "
proprietor,,"The Hammurabi Code, for example set limits on debt-slavery durations: If any one fail to meet a claim for debt, and sell himself, his wife, his son, and daughter for money or give them away to forced labor: they shall work for three years in the house of the man who bought them, or the proprietor, and in the fourth year they shall be set free.279 Furthermore, Babylonian kings would often forgive all consumer debts when taking power after the death or abdication of a predecessor. "
sly,,"Since we can’t take them violently out of the hands of government, all we can do is by some sly roundabout way introduce something they can’t stop.307 That kind of statement sounds extreme at first, but when we remember that there are approximately 160 currencies in the world, and most of those rapidly lose value and have little acceptance outside of their"
the,,"Most commonly, I hear answers like the following: “Our educational system is broken and urgently needs to be fixed.” "
impecunious,,"Dashwoods in Sense and Sensibility,4 the Austens were quite impecunious. "
impervious,,"The notion that man was a creature of his circumstance, and that those circumstances were not predetermined, immutable, or utterly impervious to human intervention is one of the most radical discoveries of all time. "
mainspring,,"“The desire to put mankind into the saddle is the mainspring of most economic study,” wrote Alfred Marshall, the father of modern economics. "
sullen,,"Rank-and-file strikers began drifting back to their factories, but Carlyle, whose history of the French revolution Dickens read and reread, warned darkly that “revolt, sullen, revengeful humor of revolt against the upper classes . . . is more and more the universal spirit of the lower classes.”"
dismal,,"An Essay on the Principle of Population, published first in 1798 and five more times before his death in 1834, inspired Charles Darwin and the other founders of evolutionary theory and prompted Carlyle to dismiss economics as the “dismal science.”"
flout,,Attempts to flout the law of population were doomed. 
injunction,,"For Victorians, the most objectionable implication of Malthus’s law was that charity might actually increase the suffering it was intended to ease—a direct challenge to Christ’s injunction to “love thy neighbor as thyself.”"
and,,"Pundits aptly refer to them by simple colors, blue and red, to call attention to the visceral group loyalties they evoke. "
visceral,,"Pundits aptly refer to them by simple colors, blue and red, to call attention to the visceral group loyalties they evoke. "
flukes,,We may want to believe these disquieting trends are unique to America—national flukes that will disappear as mysteriously as they appeared. 
vertiginous,,"History, like any good movie director, saves the most vertiginous plunges for last. "
and,,"Tiberius Gracchus, an aristocrat elected as tribune of the people, proposed to redistribute land by limiting ownership to 333 acres per person, and alloting surplus land to the restive proletariat of the capital. "
proletariat,,"Tiberius Gracchus, an aristocrat elected as tribune of the people, proposed to redistribute land by limiting ownership to 333 acres per person, and alloting surplus land to the restive proletariat of the capital. "
plebs,,"Marius became the leader of the plebs, but withdrew when the movement verged on revolution. "
bourgeoisie,,"The French Revolution attempted a violent redistribution of wealth by Jacqueries in the countryside and massacres in the cities, but the chief result was a transfer of property and privilege from the aristocracy to the bourgeoisie. "
parochial,,The world in which they operated was both cosmopolitan and curiously parochial. 
gadfly,,"By contrast, Keynes was a gadfly, a Cambridge don, a self-made millionaire, a publisher, journalist, and best-selling author who was breaking free from the paralyzing consensus that would lead to such disaster. "
corollary,,"Since all currencies were fixed against gold, a corollary was that they were all fixed against one another. "
raucous,,"Their wedding, at St Mary's, Oxford, had gone well; the service was decorous, the reception jolly, the send-off from school and college friends raucous and uplifting. "
